Code,Name,Definition
qam01,Lane miles,Total number of lane miles maintained by the municipality in the fiscal year.
qam02,Centerline miles,Total number of centerline miles maintained by the municipality in the fiscal year.
qam03,Average PCI or PCR,Average PCI or PCR for the municipality based on the latest PCI or PCR report.
qam04,Lane miles rated 85 or better,Total number of municipal lane miles rated 85 or better on the most recent street-pavement assessment.
qam05,Potholes reported,Total number of potholes reported to the municipality in the fiscal year. The number should include multiple reports of the same potholes.
qam06,Potholes repaired,Total number of potholes repaired by the municipality in the fiscal year. The number should include multiple repairs of the same potholes.
qam07,Potholes addressed within 24 hours,"Total number of potholes addressed by the municipality within twenty-four clock hours (not business hours) in the fiscal year. Addressing a pothole can include repairing it or taking action toward repairing it (for example, moving a repair request to the Department of Transportation). If your organization does not track the number of potholes repaired or addressed within twenty-four hours, use an estimate."
qam08,Work orders completed,"Total number of pavement, sidewalk, and bridge work orders completed by the municipality in the fiscal year, including pavement marking, signals, and signs. This includes service requests that are associated with contract work."
qam09,Stormwater work orders completed,Total number of stormwater work orders completed by the municipality in the fiscal year.
qam10,Bridges in system,"Total number of elevated structures, including all qualifying structures, maintained by the municipality in the fiscal year."
qam11,Bridge sufficiency rating,"Average sufficiency rating for all elevated structures, including all qualifying structures."
qam12,Approved Asphalt Maintenance FTEs,"Total number of asphalt maintenance personnel approved by the municipality as full-time equivalents (FTEs), filled or unfilled, in the fiscal year. This includes all regularly scheduled full-time positions and regular part-time positions that are eligible for full benefits (but does not include seasonal or part-time positions that are not eligible for full benefits)."
qam15,Resurfacing cost per yd/sq,"Cost per square yard incurred by the municipality for resurfacing, including milling, adjusting structures, patching, and paving."
qam16,Personnel expenses for Asphalt Maintenance,"Total amount of personnel expenses for the asphalt maintenance department in the fiscal year. This amount includes gross earnings (all salaries and wages) of permanent and temporary employees subject to the Federal Insurance Contributions Act (FICA), the unitâ€™s share of all overtime and holiday pay, longevity pay, allowances, supplemental retirement income, Social Security taxes, retirement contributions, hospital and medical insurances, disability insurances, unemployment compensation, workersâ€™-compensation contributions, deferred compensation, and other benefits."
qam17,Operational expenses for Asphalt Maintenance,"Total amount of operational expenses for the asphalt maintenance department in the fiscal year. This amount includes noncapital-outlay for equipment, tools, and software; expenses related to property or materials purchased for resale or the cost of goods sold; fees for training, travel, property maintenance, repairs, licenses, advertising, purchases, rentals, memberships, dues, utilities, data management/processing, MIS and GIS technologies, contracted services, contract administration, fuel, fleet maintenance, special programs, sublet work; and all other operating expenses."
