a_jurisdiction,a_fiscal_year,census_01
Aberdeen,2020,8551
Alamance,2020,1280
Alamance County,2020,171415
Alexander County,2020,36444
Alleghany County,2020,10888
Anson County,2020,22055
Apex,2020,59368
Ashe County,2020,26577
Asheboro,2020,27191
Asheville,2020,94855
Avery County,2020,17806
Bald Head Island,2020,270
Beaufort,2020,4457
Beaufort County,2020,44652
Beech Mountain,2020,673
Benson,2020,3998
Bertie County,2020,17934
Black Mountain,2020,8450
Bladen County,2020,29606
Blowing Rock,2020,1371
Boiling Spring Lakes,2020,5980
Boone,2020,19046
Brunswick County,2020,136693
Buncombe County,2020,269452
Burgaw,2020,3700
Burke County,2020,87570
Burlington,2020,57493
Burnsville,2020,1616
Cabarrus County,2020,225804
Calabash,2020,2023
Caldwell County,2020,80652
Camden County,2020,10355
Carolina Beach,2020,6565
Carolina Shores,2020,4616
Carrboro,2020,21344
Carteret County,2020,67686
Cary,2020,175635
Caswell Beach,2020,397
Caswell County,2020,22736
Catawba County,2020,160610
Cerro Gordo,2020,130
Chapel Hill,2020,62080
Chatham County,2020,76285
Cherokee County,2020,28774
Chowan County,2020,13708
Clarkton,2020,610
Clay County,2020,11089
Clayton,2020,26517
Cleveland County,2020,99519
Columbus County,2020,50623
Craven County,2020,100720
Cumberland County,2020,334728
Currituck County,2020,28100
Dare County,2020,36915
Davidson County,2020,168930
Davie County,2020,42712
Duck,2020,744
Dunn,2020,8463
Duplin County,2020,48715
Durham County,2020,324833
Eden,2020,15433
Edgecombe County,2020,48900
Elizabeth City,2020,18651
Fair Bluff,2020,703
Farmville,2020,4456
Fayetteville,2020,208530
Forest City,2020,7359
Four Oaks,2020,2191
Franklin County,2020,68573
Fuquay-Varina,2020,34604
Garner,2020,31306
Gaston County,2020,227943
Gastonia,2020,76635
Gates County,2020,10478
Goldsboro,2020,34156
Graham,2020,17218
Graham County,2020,8030
Granville County,2020,60992
Greene County,2020,20451
Greensboro,2020,299556
Greenville,2020,87428
Guilford County,2020,541299
Halifax County,2020,48622
Harnett County,2020,133568
Havelock,2020,17759
Haywood County,2020,62089
Henderson County,2020,116281
Hertford County,2020,21552
High Point,2020,114271
Hoke County,2020,52082
Holden Beach,2020,927
Holly Ridge,2020,4177
Holly Springs,2020,41711
Hope Mills,2020,17811
Hyde County,2020,4589
Iredell County,2020,186693
Jackson County,2020,43109
Jacksonville,2020,72800
Johnston County,2020,215999
Jones County,2020,9172
Kernersville,2020,26497
Kill Devil Hills,2020,7674
King,2020,7190
Kings Mountain,2020,11172
Kitty Hawk,2020,3698
La Grange,2020,2591
Lee County,2020,63285
Leland,2020,23049
Lenoir County,2020,55122
Lexington,2020,19660
Lillington,2020,4744
Lincoln County,2020,86810
Lumberton,2020,18922
Macon County,2020,37014
Madison,2020,2130
Madison County,2020,21193
Manteo,2020,1604
Marion,2020,7707
Martin County,2020,22031
Maysville,2020,813
McDowell County,2020,44578
Mebane,2020,17854
Mecklenburg County,2020,1115482
Mitchell County,2020,14903
Monroe,2020,34715
Montgomery County,2020,25751
Montreat,2020,902
Moore County,2020,99727
Mooresville,2020,50477
Morehead City,2020,9540
Morganton,2020,17431
Morrisville,2020,29925
Mount Olive,2020,4187
Nash County,2020,94970
New Bern,2020,31240
New Hanover County,2020,225702
Newport,2020,4357
North Topsail Beach,2020,1006
North Wilkesboro,2020,4373
