a_jurisdiction,a_fiscal_year,census_01,census_02,census_03,census_04,census_05
Apex,2020,58780,19228,2674,22,49228
Asheville,2020,94589,38933,2080,45,133059
Chapel Hill,2020,61960,19856,2871,22,91311
Charlotte,2020,874579,338985,2837,308,1025320
Concord,2020,105240,33059,1658,63,98331
Gastonia,2020,80411,29306,1556,52,77547
Goldsboro,2020,33657,14632,1177,29,53379
Greensboro,2020,299035,118126,2308,130,345287
Hickory,2020,43490,16704,1415,31,66591
Holly Springs,2020,41239,12988,2378,17,28899
Kannapolis,2020,53114,17569,1624,33,53621
Raleigh,2020,467665,187517,3179,147,546117
Rocky Mount,2020,54341,22475,1208,45,58628
Salisbury,2020,35540,13143,1629,22,48073
Wake Forest,2020,47601,16513,2638,18,66117
Wilson,2020,47851,19463,1542,31,61016
Winston-Salem,2020,249545,96611,1881,133,285637
Apex,2021,58066,21846,2239,22,53343
Asheville,2021,93272,38933,2926,45,145583
Chapel Hill,2021,60920,22369,4231,22,89975
Charlotte,2021,864871,374123,3326,308,1011467
Concord,2021,102566,41083,1549,63,106053
Gastonia,2021,79483,34363,1501,52,87069
Goldsboro,2021,33214,16575,1867,29,51161
Greensboro,2021,295483,132010,2665,130,345870
Hickory,2021,42831,19421,2167,31,66153
Holly Springs,2021,40198,13648,1666,17,32502
Kannapolis,2021,52173,21357,1639,33,43582
Raleigh,2021,462219,206766,3712,147,545177
Rocky Mount,2021,54375,26496,1303,45,63397
Salisbury,2021,35258,15017,2203,22,49457
Wake Forest,2021,46387,17235,3663,18,41814
Wilson,2021,47914,22142,1966,31,58066
Winston-Salem,2021,247917,111293,2153,133,284120
Apex,2022,65541,22965,2980,22,60753
Asheville,2022,93695,38229,2061,45,145824
Chapel Hill,2022,58919,19965,2730,22,86929
Charlotte,2022,875045,354442,2838,308,1018818
Concord,2022,105335,36205,1659,63,110269
Gastonia,2022,80615,31151,1560,52,88996
Goldsboro,2022,33566,14911,1174,29,50979
Greensboro,2022,297202,120137,2294,130,349862
Hickory,2022,43352,17663,1411,31,66539
Holly Springs,2022,42023,13596,2422,17,35676
Kannapolis,2022,53314,19026,1630,33,46199
Raleigh,2022,465517,189830,3164,147,549515
Rocky Mount,2022,54260,22666,1206,45,63254
Salisbury,2022,35437,13258,1624,22,48523
Wake Forest,2022,48047,16811,2662,18,44010
Wilson,2022,47767,19658,1539,31,57734
Winston-Salem,2022,249571,98749,1881,133,284483
Apex,2023,65541,22965,2980,22,60753
Asheville,2023,93695,38229,2061,45,145824
Chapel Hill,2023,58919,19965,2730,22,86929
Charlotte,2023,875045,354442,2838,308,1018818
Concord,2023,105335,36205,1659,63,110269
Gastonia,2023,80615,31151,1560,52,88996
Goldsboro,2023,33566,14911,1174,29,50979
Greensboro,2023,297202,120137,2294,130,349862
Hickory,2023,43352,17663,1411,31,66539
Holly Springs,2023,42023,13596,2422,17,35676
Kannapolis,2023,53314,19026,1630,33,46199
Raleigh,2023,465517,189830,3164,147,549515
Rocky Mount,2023,54260,22666,1206,45,63254
Salisbury,2023,35437,13258,1624,22,48523
Wake Forest,2023,48047,16811,2662,18,44010
Wilson,2023,47767,19658,1539,31,57734
Winston-Salem,2023,249571,98749,1881,133,284483
Apex,2024,65541,22965,2980,22,60753
Asheville,2024,93695,38229,2061,45,145824
Chapel Hill,2024,58919,19965,2730,22,86929
Charlotte,2024,875045,354442,2838,308,1018818
Concord,2024,105335,36205,1659,63,110269
Gastonia,2024,80615,31151,1560,52,88996
Goldsboro,2024,33566,14911,1174,29,50979
Greensboro,2024,297202,120137,2294,130,349862
Hickory,2024,43352,17663,1411,31,66539
Holly Springs,2024,42023,13596,2422,17,35676
Kannapolis,2024,53314,19026,1630,33,46199
Raleigh,2024,465517,189830,3164,147,549515
Rocky Mount,2024,54260,22666,1206,45,63254
Salisbury,2024,35437,13258,1624,22,48523
Wake Forest,2024,48047,16811,2662,18,44010
Wilson,2024,47767,19658,1539,31,57734
Winston-Salem,2024,249571,98749,1881,133,284483
