code_new,metrics,definitions
census_01,"Population, 2020",Population according to the 2020 US Census.
census_02,"Number of households, 2016-2020",Number of households in the area from 2016-2020.
census_03,"Population per square mile, 2020","Population per square mile, according to the 2020 US Census."
census_04,"Land area in square miles, 2020","Land area in square miles, according to the 2020 US Census."
census_05,"Daytime population, 2020",Calculated daytime population.
qam01,Lane miles,Total number of lane miles maintained in the fiscal year.
qam01_01,Lane miles per capita,"[Lane miles] divided by [Population, 2020]."
qam01_02,Lane miles per FTE,[Lane miles] divided by [Approved asphalt maintenance FTEs].
qam02,Centerline miles,Total number of centerline miles maintained in the fiscal year.
qam02_01,Centerline miles per capita,"[Centerline miles] divided by [Population, 2020]."
qam02_02,Centerline miles per FTE,[Centerline miles] divided by [Approved asphalt maintenance FTEs].
qam03,Average PCI,Average Pavement Condition Index (PCI) number based on the latest PCI report.
qam04,Lane miles rated above 80 PCI,Total number of jurisdiction lane miles with a PCI rating of 81 or better on the most recent street-pavement assessment.
qam04_01,Lane miles rated above 80 PCI as a percentage of total lane miles,[Lane miles rated above 80 PCI] divided by [Lane miles] and multiplied by 100.
qam05,Lane miles rated below 20 PCI,Total number of jurisdiction lane miles with a PCI rating of 19 or below on the most recent street-pavement assessment.
qam05_01,Lane miles rated below 20 PCI as a percentage of total lane miles,[Lane miles rated below 20 PCI] divided by [Lane miles] and multiplied by 100.
qam06,Potholes reported,Total number of potholes reported in the fiscal year. This includes multiple reports of the same potholes. This does not include utility cuts or potholes reported outside of the jurisdiction or for other entities such as the state DOT.
qam06_01,Potholes reported per lane mile,[Potholes reported] divided by [Lane miles].
qam07,Potholes repaired,Total number of potholes and patches repaired in the fiscal year. This includes multiple repairs of the same potholes. This does not include utility cuts or potholes and patches made outside of the jurisdiction or for other entities such as the state DOT.
qam07_01,Potholes repaired per FTE,[Potholes repaired] divided by [Lane miles].
qam08,Potholes addressed within 3 business days,"Total number of potholes addressed within three business days of report in the fiscal year. Addressing a pothole can include repairing it or taking action toward repairing it. If your organization does not track the number of potholes repaired or addressed within twenty-four hours, use an estimate. This does not include utility cuts or potholes and patches made outside of the jurisdiction or for other entities such as the state DOT."
qam08_01,Potholes addressed within 3 business days as a percentage of total potholes reported,[Potholes addressed within 3 business days] divided by [Lane miles] and multiplied by 100.
qam09,Utility cuts,Total number of utility cuts performed in the fiscal year.
qam10,Asphalt work orders completed,"Total number of asphalt-related work orders completed by the jurisdiction in the fiscal year. This includes service requests that are associated with contract work. This does not include pavement marking, signals, signs, etc."
qam10_01,Asphalt work orders completed per FTE,[Asphalt work orders completed] divided by [Approved asphalt maintenance FTEs].
qam11,Hot asphalt tonnage,Total tons of hot asphalt used on road repairs in the fiscal year. This does not include hot asphalt used for utility cuts.
qam11_01,Hot asphalt tonnage per pothole,[Hot asphalt tonnage] divided by [Potholes repaired].
qam12,Per ton cost of asphalt,Average cost incurred to purchase one ton of hot asphalt in the fiscal year.
qam13,Cold asphalt tonnage (optional),Total tons of cold asphalt used on road repairs in the fiscal year. This does not include cold asphalt used for utility cuts.
qam14,External funding,"Total additional funding dollars used for asphalt maintenance and repair in the fiscal year outside of local general fund, Powell Bill, or capital dollars."
qam14_01,External funding as a percentage of total expenses,[External funding] divided by [Total expenses for asphalt maintenance] and multiplied by 100.
qam15,Resurfacing cost per sq. yd,"Cost per square yard incurred for resurfacing, including mobilization, milling, adjusting structures, patching, and paving. This includes resurfacing work that was contracted out. Cost is limited to asphalt work; do not include cost for marking, signage, etc."
qam16,Approved asphalt maintenance FTEs,"Total number of asphalt maintenance personnel approved by the jurisdiction as full-time equivalents (FTEs), filled or unfilled, in the fiscal year. This includes all regularly scheduled full-time positions and regular part-time positions that are eligible for full benefits (but does not include seasonal or part-time positions that are not eligible for full benefits)."
qam16_01,Asphalt maintenance FTEs per capita,"[Approved asphalt maintenance FTEs] divided by [Population, 2020]."
